"user_id","donated","condition","clickthrough","recruited","raised","donatedsince","n","propdevice","numdevice","device","firstvisit","houroffirst"
132280,25,1,1,0,0,0,1,0,1,"Mobile",3,"0"
132469,297.39,0,0,0,0,1,8,1,1,"Desktop",18,"15"
132739,259.71,1,0,0,0,0,2,1,1,"Desktop",23,"23"
132835,15,0,0,0,0,0,1,0,1,"Mobile",17,"16"
133314,50,1,0,0,0,0,1,0,1,"Mobile",10,"17"
133936,10,0,1,0,0,0,1,1,1,"Desktop",3,"16"
134489,50,1,0,0,0,1,1,1,1,"Desktop",23,"18"
135018,10,1,1,0,0,1,1,1,1,"Desktop",4,"12"
135144,15,0,0,0,0,1,1,1,1,"Desktop",23,"15"
135334,50,0,0,0,0,1,1,0,1,"Mobile",26,"10"
136000,5,1,0,0,0,1,1,1,1,"Desktop",7,"14"
136171,16.55,1,0,0,0,0,1,0,1,"Mobile",23,"11"
136776,478,1,0,0,0,0,4,0.5,2,"Desktop",7,"11"
137230,30,1,0,0,0,0,3,0,1,"Mobile",17,"11"
137573,593.69,0,0,0,0,0,1,1,1,"Desktop",21,"0"
138021,60,0,0,0,0,0,2,0.5,2,"",3,"7"
138263,100,1,0,0,0,1,1,1,1,"Desktop",21,"7"
138287,25,0,1,0,0,1,1,1,1,"Desktop",20,"8"
138385,25,1,0,0,0,1,1,1,1,"Desktop",17,"13"
138434,25,0,0,0,0,0,1,0,1,"Mobile",23,"20"
138857,321.8,0,0,0,0,0,7,0.142857142857143,2,"",6,"10"
139320,111.62,1,0,0,0,1,1,1,1,"Desktop",2,"0"
139549,52,0,0,0,0,0,1,1,1,"Desktop",9,"13"
139573,116.76,0,0,0,0,1,3,1,1,"Desktop",22,"22"
139865,30,1,0,0,0,0,1,1,1,"Desktop",22,"15"
140080,553.11,1,0,0,0,1,15,0.266666666666667,2,"",2,"14"
140689,123.58,0,0,0,0,1,1,1,1,"Desktop",22,"13"
